,Name,Author,User Rating,Reviews,Price,Genre
0,10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,8,Non Fiction
1,11/22/63: A Novel,Stephen King,4.6,2052,22,Fiction
2,12 Rules For Life: An Antidote To Chaos,Jordan B. Peterson,4.7,18979,15,Non Fiction
3,1984 (Signet Classics),George Orwell,4.7,21424,6,Fiction
4,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,12,Non Fiction
5,A Dance With Dragons (A Song Of Ice And Fire),George R.R. Martin,4.4,12643,11,Fiction
6,A Game Of Thrones / A Clash Of Kings / A Storm Of Swords / A Feast Of Crows / A Dance With Dragons,George R.R. Martin,4.7,19735,30,Fiction
7,A Gentleman In Moscow: A Novel,Amor Towles,4.7,19699,15,Fiction
8,"A Higher Loyalty: Truth, Lies, And Leadership",James Comey,4.7,5983,3,Non Fiction
9,A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,Fiction
11,A Patriot'S History Of The United States: From Columbus'S Great Discovery To The War On Terror,Larry Schweikart,4.6,460,2,Non Fiction
12,A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32,Non Fiction
13,A Wrinkle In Time (Time Quintet),Madeleine L'Engle,4.5,5153,5,Fiction
14,"Act Like A Lady, Think Like A Man: What Men Really Think About Love, Relationships, Intimacy, And Commitment",Steve Harvey,4.6,5013,17,Non Fiction
15,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, And Paisley Patterns",Adult Coloring Book Designs,4.5,2313,4,Non Fiction
16,Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2925,6,Non Fiction
17,Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2951,6,Non Fiction
18,"Adult Coloring Books: A Coloring Book For Adults Featuring Mandalas And Henna Inspired Flowers, Animals, And Paisley…",Coloring Books for Adults,4.5,2426,8,Non Fiction
19,Alexander Hamilton,Ron Chernow,4.8,9198,13,Non Fiction
20,All The Light We Cannot See,Anthony Doerr,4.6,36348,14,Fiction
22,Allegiant,Veronica Roth,3.9,6310,13,Fiction
23,American Sniper: The Autobiography Of The Most Lethal Sniper In U.S. Military History,Chris Kyle,4.6,15921,9,Non Fiction
24,And The Mountains Echoed,Khaled Hosseini,4.3,12159,13,Fiction
25,Arguing With Idiots: How To Stop Small Minds And Big Government,Glenn Beck,4.6,798,5,Non Fiction
26,Astrophysics For People In A Hurry,Neil deGrasse Tyson,4.7,9374,9,Non Fiction
27,"Autobiography Of Mark Twain, Vol. 1",Mark Twain,4.2,491,14,Non Fiction
28,Baby Touch And Feel: Animals,DK,4.6,5360,5,Non Fiction
29,Balance (Angie'S Extreme Stress Menders),Angie Grace,4.6,1909,11,Non Fiction
30,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,24,Non Fiction
31,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,21,Non Fiction
32,Becoming,Michelle Obama,4.8,61133,11,Non Fiction
34,Being Mortal: Medicine And What Matters In The End,Atul Gawande,4.8,11113,15,Non Fiction
35,Between The World And Me,Ta-Nehisi Coates,4.7,10070,13,Non Fiction
37,Born To Run,Bruce Springsteen,4.7,3729,18,Non Fiction
38,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769,13,Fiction
39,"Broke: The Plan To Restore Our Trust, Truth And Treasure",Glenn Beck,4.5,471,8,Non Fiction
40,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,Fiction
42,"Cabin Fever (Diary Of A Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,0,Fiction
43,Calm The F*Ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,10369,4,Non Fiction
44,Can'T Hurt Me: Master Your Mind And Defy The Odds,David Goggins,4.8,16244,18,Non Fiction
45,Capital In The Twenty First Century,Thomas Piketty,4.5,2884,28,Non Fiction
46,Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,Fiction
49,Cravings: Recipes For All The Food You Want To Eat: A Cookbook,Chrissy Teigen,4.7,4761,16,Non Fiction
50,Crazy Love: Overwhelmed By A Relentless God,Francis Chan,4.7,1542,14,Non Fiction
53,Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143,8,Fiction
54,Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4022,4,Non Fiction
55,Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,3871,5,Non Fiction
56,Cutting For Stone,Abraham Verghese,4.6,4866,11,Fiction
58,"Daring Greatly: How The Courage To Be Vulnerable Transforms The Way We Live, Love, Parent, And Lead",Brené Brown,4.8,1329,10,Non Fiction
59,"David And Goliath: Underdogs, Misfits, And The Art Of Battling Giants",Malcolm Gladwell,4.4,4642,13,Non Fiction
60,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,4,Fiction
61,"Dead In The Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,8,Fiction
62,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,4,Fiction
63,Dear Zoo: A Lift-The-Flap Book,Rod Campbell,4.8,10922,5,Fiction
67,Decision Points,George W. Bush,4.6,2137,17,Non Fiction
68,"Delivering Happiness: A Path To Profits, Passion, And Purpose",Tony Hsieh,4.6,1651,15,Non Fiction
69,"Diagnostic And Statistical Manual Of Mental Disorders, 5Th Edition: Dsm-5",American Psychiatric Association,4.5,6679,105,Non Fiction
71,"Diary Of A Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,0,Fiction
72,Diary Of A Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,15,Fiction
73,Diary Of A Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,22,Fiction
74,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books For Smart Kids),M Prefontaine,4.6,7955,5,Non Fiction
75,Divergent,Veronica Roth,4.6,27098,15,Fiction
77,Divergent / Insurgent,Veronica Roth,4.5,17684,6,Fiction
78,"Divine Soul Mind Body Healing And Transmission System: The Divine Way To Heal You, Humanity, Mother Earth, And All…",Zhi Gang Sha,4.6,37,6,Non Fiction
79,Doctor Sleep: A Novel,Stephen King,4.7,15845,13,Fiction
80,"Dog Days (Diary Of A Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,12,Fiction
81,Dog Man And Cat Kid: From The Creator Of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,5062,6,Fiction
82,Dog Man: A Tale Of Two Kitties: From The Creator Of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,8,Fiction
83,Dog Man: Brawl Of The Wild: From The Creator Of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,Fiction
85,Dog Man: Fetch-22: From The Creator Of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,8,Fiction
86,Dog Man: For Whom The Ball Rolls: From The Creator Of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,9089,8,Fiction
87,Dog Man: Lord Of The Fleas: From The Creator Of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,5470,6,Fiction
88,Double Down (Diary Of A Wimpy Kid #11),Jeff Kinney,4.8,5118,20,Fiction
89,Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2134,5,Non Fiction
90,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,16,Non Fiction
91,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,1,Non Fiction
92,"Eat This, Not That! Thousands Of Simple Food Swaps That Can Save You 10, 20, 30 Pounds--Or More!",David Zinczenko,4.3,956,14,Non Fiction
93,"Eat To Live: The Amazing Nutrient-Rich Program For Fast And Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,Non Fiction
95,Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,7,Fiction
96,Eclipse (Twilight),Stephenie Meyer,4.7,5505,18,Fiction
97,Educated: A Memoir,Tara Westover,4.7,28729,15,Non Fiction
99,"Enchanted Forest: An Inky Quest And Coloring Book (Activity Books, Mindfulness And Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,5413,9,Non Fiction
100,Fahrenheit 451,Ray Bradbury,4.6,10721,8,Fiction
