,Name,Author,User Rating,Reviews,Price,Genre
102,Fantastic Beasts And Where To Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,15,Fiction
103,Fear: Trump In The White House,Bob Woodward,4.4,6042,2,Non Fiction
104,Fifty Shades Darker,E L James,4.4,23631,7,Fiction
105,Fifty Shades Freed: Book Three Of The Fifty Shades Trilogy (Fifty Shades Of Grey Series) (English Edition),E L James,4.5,20262,11,Fiction
106,Fifty Shades Of Grey: Book One Of The Fifty Shades Trilogy (Fifty Shades Of Grey Series),E L James,3.8,47265,14,Fiction
108,Fifty Shades Trilogy (Fifty Shades Of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,32,Fiction
109,Fire And Fury: Inside The Trump White House,Michael Wolff,4.2,13677,6,Non Fiction
110,First 100 Words,Roger Priddy,4.7,17323,4,Non Fiction
115,Food Rules: An Eater'S Manual,Michael Pollan,4.4,1555,9,Non Fiction
116,Frozen (Little Golden Book),RH Disney,4.7,3642,0,Fiction
117,"Game Change: Obama And The Clintons, Mccain And Palin, And The Race Of A Lifetime",John Heilemann,4.4,1215,9,Non Fiction
118,Game Of Thrones Boxed Set: A Game Of Thrones/A Clash Of Kings/A Storm Of Swords/A Feast For Crows,George R.R. Martin,4.6,5594,5,Fiction
121,George Washington'S Sacred Fire,Peter A. Lillback,4.5,408,20,Non Fiction
122,George Washington'S Secret Six: The Spy Ring That Saved The American Revolution,Brian Kilmeade,4.6,4799,16,Non Fiction
123,Giraffes Can'T Dance,Giles Andreae,4.8,14038,4,Fiction
128,"Girl, Stop Apologizing: A Shame-Free Plan For Embracing And Achieving Your Goals",Rachel Hollis,4.6,7660,12,Non Fiction
129,"Girl, Wash Your Face: Stop Believing The Lies About Who You Are So You Can Become Who You Were Meant To Be",Rachel Hollis,4.6,22288,12,Non Fiction
131,"Glenn Beck'S Common Sense: The Case Against An Out-Of-Control Government, Inspired By Thomas Paine",Glenn Beck,4.6,1365,11,Non Fiction
132,Go Set A Watchman: A Novel,Harper Lee,3.6,14982,19,Fiction
133,Go The F**K To Sleep,Adam Mansbach,4.8,9568,9,Fiction
134,Going Rogue: An American Life,Sarah Palin,4.6,1636,6,Non Fiction
137,Gone Girl,Gillian Flynn,4.0,57271,9,Fiction
138,Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,6,Non Fiction
139,Good To Great: Why Some Companies Make The Leap And Others Don'T,Jim Collins,4.5,3457,14,Non Fiction
143,Goodnight Moon,Margaret Wise Brown,4.8,8837,5,Fiction
146,"Goodnight, Goodnight Construction Site (Hardcover Books For Toddlers, Preschool Books For Kids)",Sherri Duskey Rinker,4.9,7038,7,Fiction
148,"Grain Brain: The Surprising Truth About Wheat, Carbs, And Sugar--Your Brain'S Silent Killers",David Perlmutter MD,4.6,5972,10,Non Fiction
149,Grey: Fifty Shades Of Grey As Told By Christian (Fifty Shades Of Grey Series),E L James,4.4,25624,14,Fiction
150,Guts,Raina Telgemeier,4.8,5476,7,Non Fiction
151,Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,54,Non Fiction
152,"Happy, Happy, Happy: My Life And Legacy As The Duck Commander",Phil Robertson,4.8,4148,11,Non Fiction
153,"Harry Potter And The Chamber Of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622,30,Fiction
154,"Harry Potter And The Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4.0,23973,12,Fiction
155,"Harry Potter And The Goblet Of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J.K. Rowling,4.9,7758,18,Fiction
156,"Harry Potter And The Prisoner Of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146,30,Fiction
157,"Harry Potter And The Sorcerer'S Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,22,Fiction
158,Harry Potter Coloring Book,Scholastic,4.7,3564,9,Non Fiction
159,Harry Potter Paperback Box Set (Books 1-7),J.K. Rowling,4.8,13471,52,Fiction
160,Have A Little Faith: A True Story,Mitch Albom,4.8,1930,4,Non Fiction
161,Heaven Is For Real: A Little Boy'S Astounding Story Of His Trip To Heaven And Back,Todd Burpo,4.7,15779,10,Non Fiction
163,Hillbilly Elegy: A Memoir Of A Family And Culture In Crisis,J. D. Vance,4.4,15526,14,Non Fiction
165,Homebody: A Guide To Creating Spaces You Never Want To Leave,Joanna Gaines,4.8,3776,22,Non Fiction
166,How To Win Friends & Influence People,Dale Carnegie,4.7,25001,11,Non Fiction
171,Howard Stern Comes Again,Howard Stern,4.3,5272,16,Non Fiction
172,Humans Of New York,Brandon Stanton,4.8,3490,15,Non Fiction
174,Humans Of New York : Stories,Brandon Stanton,4.9,2812,17,Non Fiction
175,"Hyperbole And A Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, And Other Things That Happened",Allie Brosh,4.7,4896,17,Non Fiction
176,"I Am Confident, Brave & Beautiful: A Coloring Book For Girls",Hopscotch Girls,4.8,9737,7,Non Fiction
177,"I, Alex Cross",James Patterson,4.6,1320,7,Fiction
178,If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,Fiction
180,If I Stay,Gayle Forman,4.3,7153,9,Fiction
181,"In The Garden Of Beasts: Love, Terror, And An American Family In Hitler'S Berlin",Eric Larson,4.4,4571,21,Non Fiction
182,Inferno,Dan Brown,4.1,29651,14,Fiction
183,Inheritance: Book Iv (Inheritance Cycle),Christopher Paolini,4.6,5299,20,Fiction
184,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes For Beginners And Advanced Users. Try Easy And Healthy…,Jennifer Smith,4.4,7396,13,Non Fiction
186,It'S Not Supposed To Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,7062,12,Non Fiction
187,Jesus Calling: Enjoying Peace In His Presence (With Scripture References),Sarah Young,4.9,19576,8,Non Fiction
193,Journey To The Ice P,RH Disney,4.6,978,0,Fiction
194,Joyland (Hard Case Crime),Stephen King,4.5,4748,12,Fiction
195,Killers Of The Flower Moon: The Osage Murders And The Birth Of The Fbi,David Grann,4.6,8393,17,Non Fiction
196,Killing Jesus (Bill O'Reilly'S Killing Series),Bill O'Reilly,4.5,11391,12,Non Fiction
197,Killing Kennedy: The End Of Camelot,Bill O'Reilly,4.6,8634,25,Non Fiction
198,Killing Lincoln: The Shocking Assassination That Changed America Forever (Bill O'Reilly'S Killing Series),Bill O'Reilly,4.7,9342,10,Non Fiction
200,Killing Patton: The Strange Death Of World War Ii'S Most Audacious General (Bill O'Reilly'S Killing Series),Bill O'Reilly,4.6,10927,6,Non Fiction
201,Killing Reagan: The Violent Assault That Changed A Presidency (Bill O'Reilly'S Killing Series),Bill O'Reilly,4.6,5235,5,Non Fiction
202,Killing The Rising Sun: How America Vanquished World War Ii Japan (Bill O'Reilly'S Killing Series),Bill O'Reilly,4.8,8916,6,Non Fiction
203,Kitchen Confidential Updated Edition: Adventures In The Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2507,8,Non Fiction
204,Knock-Knock Jokes For Kids,Rob Elliott,4.5,3673,4,Non Fiction
207,"Last Week Tonight With John Oliver Presents A Day In The Life Of Marlon Bundo (Better Bundo Book, Lgbt ChildrenS Book)",Jill Twiss,4.9,11881,13,Fiction
208,Laugh-Out-Loud Jokes For Kids,Rob Elliott,4.6,6990,4,Non Fiction
213,"Lean In: Women, Work, And The Will To Lead",Sheryl Sandberg,4.5,6132,13,Non Fiction
214,Leonardo Da Vinci,Walter Isaacson,4.5,3014,21,Non Fiction
215,Lettering And Modern Calligraphy: A Beginner'S Guide: Learn Hand Lettering And Brush Lettering,Paper Peony Press,4.4,7550,6,Non Fiction
216,Liberty And Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828,15,Non Fiction
217,Life,Keith Richards,4.5,2752,18,Non Fiction
218,Little Bee: A Novel,Chris Cleave,4.1,1467,10,Fiction
219,Little Blue Truck,Alice Schertle,4.9,1884,0,Fiction
220,Little Fires Everywhere,Celeste Ng,4.5,25706,12,Fiction
221,Looking For Alaska,John Green,4.5,8491,7,Fiction
222,"Love Wins: A Book About Heaven, Hell, And The Fate Of Every Person Who Ever Lived",Rob Bell,4.2,1649,13,Non Fiction
223,Love You Forever,Robert Munsch,4.8,18613,5,Fiction
225,Magnolia Table: A Collection Of Recipes For Gathering,Joanna Gaines,4.8,9867,16,Non Fiction
226,Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386,20,Non Fiction
227,Make Your Bed: Little Things That Can Change Your Life...And Maybe The World,Admiral William H. McRaven,4.7,10199,11,Non Fiction
228,"Mastering The Art Of French Cooking, Vol. 2",Julia Child,4.8,2926,27,Non Fiction
229,Milk And Honey,Rupi Kaur,4.7,17739,8,Non Fiction
232,Milk And Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,3113,6,Non Fiction
233,Mindset: The New Psychology Of Success,Carol S. Dweck,4.6,5542,10,Non Fiction
236,Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,Fiction
239,"National Geographic Kids Why?: Over 1,111 Answers To Everything",Crispin Boyer,4.8,5347,16,Non Fiction
240,National Geographic Little Kids First Big Book Of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,7866,11,Non Fiction
241,New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680,10,Fiction
242,Night (Night),Elie Wiesel,4.7,5178,9,Non Fiction
243,No Easy Day: The Autobiography Of A Navy Seal: The Firsthand Account Of The Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093,14,Non Fiction
244,Obama: An Intimate Portrait,Pete Souza,4.9,3192,22,Non Fiction
245,"Oh, The Places You'Ll Go!",Dr. Seuss,4.9,21834,8,Fiction
253,Old School (Diary Of A Wimpy Kid #10),Jeff Kinney,4.8,6169,7,Fiction
254,Olive Kitteridge,Elizabeth Strout,4.2,4519,12,Fiction
255,One Thousand Gifts: A Dare To Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,Non Fiction
257,"Option B: Facing Adversity, Building Resilience, And Finding Joy",Sheryl Sandberg,4.5,1831,9,Non Fiction
258,Origin: A Novel (Robert Langdon),Dan Brown,4.3,18904,13,Fiction
259,Orphan Train,Christina Baker Kline,4.6,21930,11,Fiction
260,Outliers: The Story Of Success,Malcolm Gladwell,4.6,10426,20,Non Fiction
262,P Is For Potty! (Sesame Street) (Lift-The-Flap),Naomi Kleinberg,4.7,10820,5,Non Fiction
264,Percy Jackson And The Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,548,2,Fiction
265,Player'S Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,Fiction
268,Pokémon Deluxe Essential Handbook: The Need-To-Know Stats And Facts On Over 700 Pokémon,Scholastic,4.7,3503,9,Fiction
269,Proof Of Heaven: A Neurosurgeon'S Journey Into The Afterlife,Eben Alexander,4.3,13616,10,Non Fiction
271,"Publication Manual Of The American Psychological Association, 6Th Edition",American Psychological Association,4.5,8580,46,Non Fiction
281,Puppy Birthday To You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,4757,4,Fiction
283,Quiet: The Power Of Introverts In A World That Can'T Stop Talking,Susan Cain,4.6,10009,7,Non Fiction
284,Radical: Taking Back Your Faith From The American Dream,David Platt,4.7,1985,9,Non Fiction
286,Ready Player One: A Novel,Ernest Cline,4.6,22536,12,Fiction
288,Rush Revere And The Brave Pilgrims: Time-Travel Adventures With Exceptional Americans (1),Rush Limbaugh,4.9,7150,12,Fiction
289,Rush Revere And The First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,4.9,3836,12,Fiction
290,"Salt, Fat, Acid, Heat: Mastering The Elements Of Good Cooking",Samin Nosrat,4.8,7802,20,Non Fiction
292,Sarah'S Key,Tatiana de Rosnay,4.6,3619,10,Fiction
293,"School Zone - Big Preschool Workbook - Ages 4 And Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8,23047,6,Non Fiction
295,"Secret Garden: An Inky Treasure Hunt And Coloring Book (For Adults, Mindfulness Coloring)",Johanna Basford,4.7,9366,9,Non Fiction
296,Sh*T My Dad Says,Justin Halpern,4.7,1265,11,Non Fiction
297,Ship Of Fools: How A Selfish Ruling Class Is Bringing America To The Brink Of Revolution,Tucker Carlson,4.8,3923,16,Non Fiction
298,Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,2272,6,Non Fiction
299,Sookie Stackhouse,Charlaine Harris,4.7,973,25,Fiction
300,"Soul Healing Miracles: Ancient And New Sacred Wisdom, Knowledge, And Practical Techniques For Healing The Spiritual…",Zhi Gang Sha,4.6,220,17,Non Fiction
301,Steve Jobs,Walter Isaacson,4.6,7827,20,Non Fiction
303,Strange Planet (Strange Planet Series),Nathan W. Pyle,4.9,9382,6,Fiction
304,Strengthsfinder 2.0,Gallup,4.0,5069,17,Non Fiction
313,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, And Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,1583,18,Non Fiction
314,Switch: How To Change Things When Change Is Hard,Chip Heath,4.6,1907,13,Non Fiction
315,Sycamore Row (Jake Brigance),John Grisham,4.5,23114,18,Fiction
316,Teach Like A Champion: 49 Techniques That Put Students On The Path To College,Doug Lemov,4.4,637,20,Non Fiction
318,The 17 Day Diet: A Doctor'S Plan Designed For Rapid Results,Mike Moreno,4.3,2314,22,Non Fiction
319,"The 4 Hour Body: An Uncommon Guide To Rapid Fat Loss, Incredible Sex And Becoming Superhuman",Timothy Ferriss,4.3,4587,21,Non Fiction
325,The 5 Love Languages: The Secret To Love That Lasts,Gary Chapman,4.8,25554,8,Non Fiction
330,The 5000 Year Leap,W. Cleon Skousen,4.8,1680,12,Non Fiction
335,The 7 Habits Of Highly Effective People: Powerful Lessons In Personal Change,Stephen R. Covey,4.7,4725,16,Non Fiction
338,The Alchemist,Paulo Coelho,4.7,35799,39,Fiction
339,The Amateur,Edward Klein,4.6,2580,9,Non Fiction
340,The Art Of Racing In The Rain: A Novel,Garth Stein,4.7,11813,10,Fiction
342,The Big Short: Inside The Doomsday Machine,Michael Lewis,4.7,3536,17,Non Fiction
343,The Blood Of Olympus (The Heroes Of Olympus (5)),Rick Riordan,4.8,6600,11,Fiction
344,"The Blood Sugar Solution: The Ultrahealthy Program For Losing Weight, Preventing Disease, And Feeling Great Now!",Mark Hyman M.D.,4.2,1789,14,Non Fiction
345,"The Body Keeps The Score: Brain, Mind, And Body In The Healing Of Trauma",Bessel van der Kolk M.D.,4.8,12361,12,Non Fiction
346,The Book Of Basketball: The Nba According To The Sports Guy,Bill Simmons,4.7,858,53,Non Fiction
347,The Book Thief,Markus Zusak,4.6,23148,6,Fiction
349,The Book With No Pictures,B. J. Novak,4.8,8081,8,Fiction
351,The Boys In The Boat: Nine Americans And Their Epic Quest For Gold At The 1936 Berlin Olympics,Daniel James Brown,4.8,23358,12,Non Fiction
353,The Casual Vacancy,J.K. Rowling,3.3,9372,12,Fiction
354,The China Study: The Most Comprehensive Study Of Nutrition Ever Conducted And The Startling Implications For Diet…,Thomas Campbell,4.7,4633,21,Non Fiction
355,The Complete Ketogenic Diet For Beginners: Your Essential Guide To Living The Keto Lifestyle,Amy Ramos,4.3,13061,6,Non Fiction
357,The Confession: A Novel,John Grisham,4.3,3523,13,Fiction
358,The Constitution Of The United States,Delegates of the Constitutional,4.8,2774,0,Non Fiction
359,The Daily Show With Jon Stewart Presents Earth (The Book): A Visitor'S Guide To The Human Race,Jon Stewart,4.4,440,11,Non Fiction
360,The Day The Crayons Quit,Drew Daywalt,4.8,8922,9,Fiction
363,"The Dukan Diet: 2 Steps To Lose The Weight, 2 Steps To Keep It Off Forever",Pierre Dukan,4.1,2023,15,Non Fiction
364,The Elegance Of The Hedgehog,Muriel Barbery,4.0,1859,11,Fiction
367,The Fault In Our Stars,John Green,4.7,50482,7,Fiction
369,The Five Dysfunctions Of A Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,Non Fiction
374,The Five Love Languages: How To Express Heartfelt Commitment To Your Mate,Gary Chapman,4.6,803,9,Non Fiction
375,The Four Agreements: A Practical Guide To Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,Non Fiction
381,The Getaway,Jeff Kinney,4.8,5836,0,Fiction
383,The Girl On The Train,Paula Hawkins,4.1,79446,7,Fiction
384,The Girl Who Kicked The Hornet'S Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,14,Fiction
386,The Girl Who Played With Fire (Millennium Series),Stieg Larsson,4.7,7251,9,Fiction
387,The Girl Who Played With Fire (Millennium),Stieg Larsson,4.7,7251,16,Fiction
388,The Girl With The Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,2,Fiction
390,The Going-To-Bed Book,Sandra Boynton,4.8,5249,5,Fiction
392,The Goldfinch: A Novel (Pulitzer Prize For Fiction),Donna Tartt,3.9,33844,20,Fiction
394,The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,Fiction
397,The Guardians: A Novel,John Grisham,4.5,13609,14,Fiction
398,The Guernsey Literary And Potato Peel Pie Society,Mary Ann Shaffer,4.7,8587,10,Fiction
399,The Handmaid'S Tale,Margaret Atwood,4.3,29442,7,Fiction
400,The Harbinger: The Ancient Mystery That Holds The Secret Of America'S Future,Jonathan Cahn,4.6,11098,13,Fiction
401,The Hate U Give,Angie Thomas,4.8,9947,11,Fiction
405,The Help,Kathryn Stockett,4.8,13871,7,Fiction
406,"The House Of Hades (Heroes Of Olympus, Book 4)",Rick Riordan,4.8,6982,14,Fiction
407,The Hunger Games,Suzanne Collins,4.7,32122,14,Fiction
408,The Hunger Games (Book 1),Suzanne Collins,4.7,32122,8,Fiction
410,The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949,30,Fiction
413,The Immortal Life Of Henrietta Lacks,Rebecca Skloot,4.7,9289,9,Non Fiction
415,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes For Fast & Healthy Meals,Laurel Randolph,4.3,7368,7,Non Fiction
417,The Last Lecture,Randy Pausch,4.7,4028,9,Non Fiction
418,"The Last Olympian (Percy Jackson And The Olympians, Book 5)",Rick Riordan,4.8,4628,7,Fiction
420,The Legend Of Zelda: Hyrule Historia,Patrick Thorpe,4.9,5396,20,Fiction
421,The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,13,Non Fiction
423,The Life-Changing Magic Of Tidying Up: The Japanese Art Of Decluttering And Organizing,Marie Kondō,4.5,22641,11,Non Fiction
427,The Litigators,John Grisham,4.4,6222,18,Fiction
428,"The Lost Hero (Heroes Of Olympus, Book 1)",Rick Riordan,4.8,4506,14,Fiction
429,The Lost Symbol,Dan Brown,4.2,8747,19,Fiction
430,The Love Dare,Stephen Kendrick,4.8,1655,13,Non Fiction
431,The Magnolia Story,Chip Gaines,4.9,7861,5,Non Fiction
