work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,Mid Level,Full Time,Data Scientist,70000,EUR,79833,Germany,Non Remote Work,Germany,Large
2020,Senior Level,Full Time,Machine Learning Scientist,260000,USD,260000,Japan,Non Remote Work,Japan,Small
2020,Senior Level,Full Time,Big Data Engineer,85000,GBP,109024,United Kingdom,Partially Remote,United Kingdom,Medium
2020,Mid Level,Full Time,Product Data Analyst,20000,USD,20000,Honduras,Non Remote Work,Honduras,Small
2020,Senior Level,Full Time,Machine Learning Engineer,150000,USD,150000,United States,Partially Remote,United States,Large
2020,Entry Level,Full Time,Data Analyst,72000,USD,72000,United States,Fully Remote,United States,Large
2020,Senior Level,Full Time,Lead Data Scientist,190000,USD,190000,United States,Fully Remote,United States,Small
2020,Mid Level,Full Time,Data Scientist,11000000,HUF,35735,Hungary,Partially Remote,Hungary,Large
2020,Mid Level,Full Time,Business Data Analyst,135000,USD,135000,United States,Fully Remote,United States,Large
2020,Senior Level,Full Time,Lead Data Engineer,125000,USD,125000,New Zealand,Partially Remote,New Zealand,Small
2020,Entry Level,Full Time,Data Scientist,45000,EUR,51321,France,Non Remote Work,France,Small
2020,Mid Level,Full Time,Data Scientist,3000000,INR,40481,India,Non Remote Work,India,Large
2020,Entry Level,Full Time,Data Scientist,35000,EUR,39916,France,Non Remote Work,France,Medium
2020,Mid Level,Full Time,Lead Data Analyst,87000,USD,87000,United States,Fully Remote,United States,Large
2020,Mid Level,Full Time,Data Analyst,85000,USD,85000,United States,Fully Remote,United States,Large
2020,Mid Level,Full Time,Data Analyst,8000,USD,8000,Pakistan,Partially Remote,Pakistan,Large
2020,Entry Level,Full Time,Data Engineer,4450000,JPY,41689,Japan,Fully Remote,Japan,Small
2020,Senior Level,Full Time,Big Data Engineer,100000,EUR,114047,Poland,Fully Remote,United Kingdom,Small
2020,Entry Level,Full Time,Data Science Consultant,423000,INR,5707,India,Partially Remote,India,Medium
2020,Mid Level,Full Time,Lead Data Engineer,56000,USD,56000,Portugal,Fully Remote,United States,Medium
2020,Mid Level,Full Time,Machine Learning Engineer,299000,CNY,43331,China,Non Remote Work,China,Medium
2020,Mid Level,Full Time,Product Data Analyst,450000,INR,6072,India,Fully Remote,India,Large
2020,Senior Level,Full Time,Data Engineer,42000,EUR,47899,Greece,Partially Remote,Greece,Large
2020,Mid Level,Full Time,BI Data Analyst,98000,USD,98000,United States,Non Remote Work,United States,Medium
2020,Mid Level,Full Time,Lead Data Scientist,115000,USD,115000,United Arab Emirates,Non Remote Work,United Arab Emirates,Large
2020,Expert Level,Full Time,Director of Data Science,325000,USD,325000,United States,Fully Remote,United States,Large
2020,Entry Level,Full Time,Research Scientist,42000,USD,42000,Netherlands,Partially Remote,Netherlands,Large
2020,Senior Level,Full Time,Data Engineer,720000,MXN,33511,Mexico,Non Remote Work,Mexico,Small
