work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,Entry Level,Contractual,Business Data Analyst,100000,USD,100000,United States,Fully Remote,United States,Large
2020,Senior Level,Full Time,Machine Learning Manager,157000,CAD,117104,Canada,Partially Remote,Canada,Large
2020,Mid Level,Full Time,Data Engineering Manager,51999,EUR,59303,Germany,Fully Remote,Germany,Small
2020,Entry Level,Full Time,Big Data Engineer,70000,USD,70000,United States,Fully Remote,United States,Large
2020,Senior Level,Full Time,Data Scientist,60000,EUR,68428,Greece,Fully Remote,United States,Large
2020,Mid Level,Full Time,Research Scientist,450000,USD,450000,United States,Non Remote Work,United States,Medium
2020,Mid Level,Full Time,Data Analyst,41000,EUR,46759,France,Partially Remote,France,Large
2020,Mid Level,Full Time,Data Engineer,65000,EUR,74130,Austria,Partially Remote,Austria,Large
2020,Mid Level,Full Time,Data Science Consultant,103000,USD,103000,United States,Fully Remote,United States,Large
2020,Entry Level,Full Time,Machine Learning Engineer,250000,USD,250000,United States,Partially Remote,United States,Large
2020,Entry Level,Full Time,Data Analyst,10000,USD,10000,Nigeria,Fully Remote,Nigeria,Small
2020,Entry Level,Full Time,Machine Learning Engineer,138000,USD,138000,United States,Fully Remote,United States,Small
2020,Mid Level,Full Time,Data Scientist,45760,USD,45760,Philippines,Fully Remote,United States,Small
2020,Expert Level,Full Time,Data Engineering Manager,70000,EUR,79833,Spain,Partially Remote,Spain,Large
2020,Mid Level,Full Time,Machine Learning Infrastructure Engineer,44000,EUR,50180,Portugal,Non Remote Work,Portugal,Medium
2020,Mid Level,Full Time,Data Engineer,106000,USD,106000,United States,Fully Remote,United States,Large
2020,Mid Level,Full Time,Data Engineer,88000,GBP,112872,United Kingdom,Partially Remote,United Kingdom,Large
2020,Entry Level,Part Time,ML Engineer,14000,EUR,15966,Germany,Fully Remote,Germany,Small
2020,Mid Level,Full Time,Data Scientist,60000,GBP,76958,United Kingdom,Fully Remote,United Kingdom,Small
2020,Senior Level,Full Time,Data Engineer,188000,USD,188000,United States,Fully Remote,United States,Large
2020,Mid Level,Full Time,Data Scientist,105000,USD,105000,United States,Fully Remote,United States,Large
2020,Mid Level,Full Time,Data Engineer,61500,EUR,70139,France,Partially Remote,France,Large
2020,Entry Level,Full Time,Data Analyst,450000,INR,6072,India,Non Remote Work,India,Small
2020,Entry Level,Full Time,Data Analyst,91000,USD,91000,United States,Fully Remote,United States,Large
2020,Entry Level,Full Time,AI Scientist,300000,DKK,45896,Denmark,Partially Remote,Denmark,Small
2020,Entry Level,Full Time,Data Engineer,48000,EUR,54742,Pakistan,Fully Remote,Germany,Large
2020,Senior Level,Freelance,Computer Vision Engineer,60000,USD,60000,Russia,Fully Remote,United States,Small
2020,Senior Level,Full Time,Principal Data Scientist,130000,EUR,148261,Germany,Fully Remote,Germany,Medium
2020,Mid Level,Full Time,Data Scientist,34000,EUR,38776,Spain,Fully Remote,Spain,Medium
2020,Mid Level,Full Time,Data Scientist,118000,USD,118000,United States,Fully Remote,United States,Medium
2020,Senior Level,Full Time,Data Scientist,120000,USD,120000,United States,Partially Remote,United States,Large
2020,Mid Level,Full Time,Data Scientist,138350,USD,138350,United States,Fully Remote,United States,Medium
2020,Mid Level,Full Time,Data Engineer,110000,USD,110000,United States,Fully Remote,United States,Large
2020,Mid Level,Full Time,Data Engineer,130800,USD,130800,Spain,Fully Remote,United States,Medium
2020,Entry Level,Part Time,Data Scientist,19000,EUR,21669,Italy,Partially Remote,Italy,Small
2020,Senior Level,Full Time,Data Scientist,412000,USD,412000,United States,Fully Remote,United States,Large
2020,Senior Level,Full Time,Machine Learning Engineer,40000,EUR,45618,Croatia,Fully Remote,Croatia,Small
2020,Entry Level,Full Time,Data Scientist,55000,EUR,62726,Germany,Partially Remote,Germany,Small
2020,Entry Level,Full Time,Data Scientist,43200,EUR,49268,Germany,Non Remote Work,Germany,Small
2020,Senior Level,Full Time,Data Science Manager,190200,USD,190200,United States,Fully Remote,United States,Medium
2020,Entry Level,Full Time,Data Scientist,105000,USD,105000,United States,Fully Remote,United States,Small
2020,Senior Level,Full Time,Data Scientist,80000,EUR,91237,Austria,Non Remote Work,Austria,Small
2020,Mid Level,Full Time,Data Scientist,55000,EUR,62726,France,Partially Remote,Luxembourg,Small
2020,Mid Level,Full Time,Data Scientist,37000,EUR,42197,France,Partially Remote,France,Small
2021,Entry Level,Full Time,Research Scientist,60000,GBP,82528,United Kingdom,Partially Remote,United Kingdom,Large
2021,Expert Level,Full Time,BI Data Analyst,150000,USD,150000,India,Fully Remote,United States,Large
2021,Expert Level,Full Time,Head of Data,235000,USD,235000,United States,Fully Remote,United States,Large
2021,Senior Level,Full Time,Data Scientist,45000,EUR,53192,France,Partially Remote,France,Large
2021,Mid Level,Full Time,BI Data Analyst,100000,USD,100000,United States,Fully Remote,United States,Medium
2021,Mid Level,Part Time,3D Computer Vision Researcher,400000,INR,5409,India,Partially Remote,India,Medium
2021,Mid Level,Contractual,ML Engineer,270000,USD,270000,United States,Fully Remote,United States,Large
2021,Entry Level,Full Time,Data Analyst,80000,USD,80000,United States,Fully Remote,United States,Medium
2021,Senior Level,Full Time,Data Analytics Engineer,67000,EUR,79197,Germany,Fully Remote,Germany,Large
2021,Mid Level,Full Time,Data Engineer,140000,USD,140000,United States,Fully Remote,United States,Large
2021,Mid Level,Full Time,Applied Data Scientist,68000,CAD,54238,United Kingdom,Partially Remote,Canada,Large
2021,Mid Level,Full Time,Machine Learning Engineer,40000,EUR,47282,Spain,Fully Remote,Spain,Small
2021,Expert Level,Full Time,Director of Data Science,130000,EUR,153667,Italy,Fully Remote,Poland,Large
2021,Mid Level,Full Time,Data Engineer,110000,PLN,28476,Poland,Fully Remote,Poland,Large
2021,Entry Level,Full Time,Data Analyst,50000,EUR,59102,France,Partially Remote,France,Medium
2021,Mid Level,Full Time,Data Analytics Engineer,110000,USD,110000,United States,Fully Remote,United States,Large
2021,Senior Level,Full Time,Lead Data Analyst,170000,USD,170000,United States,Fully Remote,United States,Large
2021,Senior Level,Full Time,Data Analyst,80000,USD,80000,Bulgaria,Fully Remote,United States,Small
2021,Senior Level,Full Time,Marketing Data Analyst,75000,EUR,88654,Greece,Fully Remote,Denmark,Large
2021,Entry Level,Full Time,Data Science Consultant,65000,EUR,76833,Germany,Fully Remote,Germany,Small
2021,Mid Level,Full Time,Lead Data Analyst,1450000,INR,19609,India,Fully Remote,India,Large
2021,Senior Level,Full Time,Lead Data Engineer,276000,USD,276000,United States,Non Remote Work,United States,Large
2021,Entry Level,Full Time,Data Scientist,2200000,INR,29751,India,Partially Remote,India,Large
2021,Mid Level,Full Time,Cloud Data Engineer,120000,SGD,89294,Singapore,Partially Remote,Singapore,Large
2021,Entry Level,Part Time,AI Scientist,12000,USD,12000,Brazil,Fully Remote,United States,Small
2021,Mid Level,Full Time,Financial Data Analyst,450000,USD,450000,United States,Fully Remote,United States,Large
2021,Entry Level,Full Time,Computer Vision Software Engineer,70000,USD,70000,United States,Fully Remote,United States,Medium
2021,Mid Level,Full Time,Computer Vision Software Engineer,81000,EUR,95746,Germany,Fully Remote,United States,Small
2021,Mid Level,Full Time,Data Analyst,75000,USD,75000,United States,Non Remote Work,United States,Large
2021,Senior Level,Full Time,Data Engineer,150000,USD,150000,United States,Fully Remote,United States,Large
2021,Mid Level,Full Time,BI Data Analyst,11000000,HUF,36259,Hungary,Partially Remote,United States,Large
2021,Mid Level,Full Time,Data Analyst,62000,USD,62000,United States,Non Remote Work,United States,Large
2021,Mid Level,Full Time,Data Scientist,73000,USD,73000,United States,Non Remote Work,United States,Large
2021,Mid Level,Full Time,Data Analyst,37456,GBP,51519,United Kingdom,Partially Remote,United Kingdom,Large
2021,Mid Level,Full Time,Research Scientist,235000,CAD,187442,Canada,Fully Remote,Canada,Large
2021,Senior Level,Full Time,Data Engineer,115000,USD,115000,United States,Fully Remote,United States,Small
2021,Senior Level,Full Time,Data Engineer,150000,USD,150000,United States,Fully Remote,United States,Medium
2021,Entry Level,Full Time,Data Engineer,2250000,INR,30428,India,Fully Remote,India,Large
2021,Senior Level,Full Time,Machine Learning Engineer,80000,EUR,94564,Germany,Partially Remote,Germany,Large
2021,Senior Level,Full Time,Director of Data Engineering,82500,GBP,113476,United Kingdom,Fully Remote,United Kingdom,Medium
2021,Senior Level,Full Time,Lead Data Engineer,75000,GBP,103160,United Kingdom,Fully Remote,United Kingdom,Small
2021,Entry Level,Part Time,AI Scientist,12000,USD,12000,Pakistan,Fully Remote,United States,Medium
2021,Mid Level,Full Time,Data Engineer,38400,EUR,45391,Netherlands,Fully Remote,Netherlands,Large
2021,Entry Level,Full Time,Machine Learning Scientist,225000,USD,225000,United States,Fully Remote,United States,Large
2021,Mid Level,Full Time,Data Scientist,50000,USD,50000,Nigeria,Fully Remote,Nigeria,Large
2021,Mid Level,Full Time,Data Science Engineer,34000,EUR,40189,Greece,Fully Remote,Greece,Medium
2021,Entry Level,Full Time,Data Analyst,90000,USD,90000,United States,Fully Remote,United States,Small
2021,Mid Level,Full Time,Data Engineer,200000,USD,200000,United States,Fully Remote,United States,Large
2021,Mid Level,Full Time,Big Data Engineer,60000,USD,60000,Spain,Partially Remote,Romania,Medium
2021,Senior Level,Full Time,Principal Data Engineer,200000,USD,200000,United States,Fully Remote,United States,Medium
2021,Entry Level,Full Time,Data Analyst,50000,USD,50000,United States,Fully Remote,United States,Medium
2021,Entry Level,Full Time,Applied Data Scientist,80000,GBP,110037,United Kingdom,Non Remote Work,United Kingdom,Large
2021,Entry Level,Part Time,Data Analyst,8760,EUR,10354,Spain,Partially Remote,Spain,Medium
2021,Mid Level,Full Time,Principal Data Scientist,151000,USD,151000,United States,Fully Remote,United States,Large
2021,Senior Level,Full Time,Machine Learning Scientist,120000,USD,120000,United States,Partially Remote,United States,Small
2021,Mid Level,Full Time,Data Scientist,700000,INR,9466,India,Non Remote Work,India,Small
2021,Entry Level,Full Time,Machine Learning Engineer,20000,USD,20000,India,Fully Remote,India,Small
2021,Senior Level,Full Time,Lead Data Scientist,3000000,INR,40570,India,Partially Remote,India,Large
2021,Entry Level,Full Time,Machine Learning Developer,100000,USD,100000,Iraq,Partially Remote,Iraq,Small
2021,Entry Level,Full Time,Data Scientist,42000,EUR,49646,France,Partially Remote,France,Medium
2021,Mid Level,Full Time,Applied Machine Learning Scientist,38400,USD,38400,Vietnam,Fully Remote,United States,Medium
2021,Senior Level,Full Time,Computer Vision Engineer,24000,USD,24000,Brazil,Fully Remote,Brazil,Medium
2021,Entry Level,Full Time,Data Scientist,100000,USD,100000,United States,Non Remote Work,United States,Small
2021,Mid Level,Full Time,Data Analyst,90000,USD,90000,United States,Fully Remote,United States,Medium
2021,Mid Level,Full Time,ML Engineer,7000000,JPY,63711,Japan,Partially Remote,Japan,Small
2021,Mid Level,Full Time,ML Engineer,8500000,JPY,77364,Japan,Partially Remote,Japan,Small
2021,Senior Level,Full Time,Principal Data Scientist,220000,USD,220000,United States,Non Remote Work,United States,Large
2021,Entry Level,Full Time,Data Scientist,80000,USD,80000,United States,Fully Remote,United States,Medium
2021,Mid Level,Full Time,Data Analyst,135000,USD,135000,United States,Fully Remote,United States,Large
2021,Senior Level,Full Time,Data Science Manager,240000,USD,240000,United States,Non Remote Work,United States,Large
2021,Senior Level,Full Time,Data Engineering Manager,150000,USD,150000,United States,Non Remote Work,United States,Large
2021,Mid Level,Full Time,Data Scientist,82500,USD,82500,United States,Fully Remote,United States,Small
2021,Mid Level,Full Time,Data Engineer,100000,USD,100000,United States,Fully Remote,United States,Large
2021,Senior Level,Full Time,Machine Learning Engineer,70000,EUR,82744,Belgium,Partially Remote,Belgium,Medium
2021,Mid Level,Full Time,Research Scientist,53000,EUR,62649,France,Partially Remote,France,Medium
2021,Mid Level,Full Time,Data Engineer,90000,USD,90000,United States,Fully Remote,United States,Large
2021,Senior Level,Full Time,Data Engineering Manager,153000,USD,153000,United States,Fully Remote,United States,Large
2021,Senior Level,Full Time,Cloud Data Engineer,160000,USD,160000,Brazil,Fully Remote,United States,Small
2021,Senior Level,Full Time,Director of Data Science,168000,USD,168000,Japan,Non Remote Work,Japan,Small
2021,Mid Level,Full Time,Data Scientist,150000,USD,150000,United States,Fully Remote,United States,Medium
2021,Mid Level,Full Time,Data Scientist,95000,CAD,75774,Canada,Fully Remote,Canada,Large
2021,Entry Level,Full Time,Data Scientist,13400,USD,13400,Ukraine,Fully Remote,Ukraine,Large
2021,Senior Level,Full Time,Data Science Manager,144000,USD,144000,United States,Fully Remote,United States,Large
2021,Senior Level,Full Time,Data Science Engineer,159500,CAD,127221,Canada,Partially Remote,Canada,Large
2021,Mid Level,Full Time,Data Scientist,160000,SGD,119059,Singapore,Fully Remote,Israel,Medium
2021,Mid Level,Full Time,Applied Machine Learning Scientist,423000,USD,423000,United States,Partially Remote,United States,Large
2021,Senior Level,Full Time,Data Analytics Manager,120000,USD,120000,United States,Fully Remote,United States,Medium
2021,Entry Level,Full Time,Machine Learning Engineer,125000,USD,125000,United States,Fully Remote,United States,Small
2021,Expert Level,Full Time,Head of Data,230000,USD,230000,Russia,Partially Remote,Russia,Large
2021,Expert Level,Full Time,Head of Data Science,85000,USD,85000,Russia,Non Remote Work,Russia,Medium
2021,Mid Level,Full Time,Data Engineer,24000,EUR,28369,Malta,Partially Remote,Malta,Large
2021,Entry Level,Full Time,Data Science Consultant,54000,EUR,63831,Germany,Partially Remote,Germany,Large
2021,Expert Level,Full Time,Director of Data Science,110000,EUR,130026,Germany,Partially Remote,Germany,Medium
2021,Senior Level,Full Time,Data Specialist,165000,USD,165000,United States,Fully Remote,United States,Large
2021,Entry Level,Full Time,Data Engineer,80000,USD,80000,United States,Fully Remote,United States,Large
2021,Expert Level,Full Time,Director of Data Science,250000,USD,250000,United States,Non Remote Work,United States,Large
2021,Entry Level,Full Time,BI Data Analyst,55000,USD,55000,United States,Partially Remote,United States,Small
2021,Mid Level,Full Time,Data Architect,150000,USD,150000,United States,Fully Remote,United States,Large
2021,Mid Level,Full Time,Data Architect,170000,USD,170000,United States,Fully Remote,United States,Large
2021,Mid Level,Full Time,Data Engineer,60000,GBP,82528,United Kingdom,Fully Remote,United Kingdom,Large
2021,Entry Level,Full Time,Data Analyst,60000,USD,60000,United States,Fully Remote,United States,Small
2021,Senior Level,Full Time,Principal Data Scientist,235000,USD,235000,United States,Fully Remote,United States,Large
2021,Senior Level,Full Time,Research Scientist,51400,EUR,60757,Portugal,Partially Remote,Portugal,Large
2021,Senior Level,Full Time,Data Engineering Manager,174000,USD,174000,United States,Fully Remote,United States,Large
2021,Mid Level,Full Time,Data Scientist,58000,MXN,2859,Mexico,Non Remote Work,Mexico,Small
2021,Mid Level,Full Time,Data Scientist,30400000,CLP,40038,Chile,Fully Remote,Chile,Large
2021,Entry Level,Full Time,Machine Learning Engineer,81000,USD,81000,United States,Partially Remote,United States,Small
2021,Mid Level,Full Time,Data Scientist,420000,INR,5679,India,Fully Remote,United States,Small
2021,Mid Level,Full Time,Big Data Engineer,1672000,INR,22611,India,Non Remote Work,India,Large
2021,Mid Level,Full Time,Data Scientist,76760,EUR,90734,Germany,Partially Remote,Germany,Large
2021,Mid Level,Full Time,Data Engineer,22000,EUR,26005,Romania,Non Remote Work,United States,Large
2021,Senior Level,Full Time,Finance Data Analyst,45000,GBP,61896,United Kingdom,Partially Remote,United Kingdom,Large
2021,Mid Level,Freelance,Machine Learning Scientist,12000,USD,12000,Pakistan,Partially Remote,Pakistan,Medium
2021,Mid Level,Full Time,Data Engineer,4000,USD,4000,Iran,Fully Remote,Iran,Medium
2021,Senior Level,Full Time,Data Analytics Engineer,50000,USD,50000,Vietnam,Fully Remote,United Kingdom,Medium
2021,Expert Level,Full Time,Data Science Consultant,59000,EUR,69741,France,Fully Remote,Spain,Small
2021,Senior Level,Full Time,Data Engineer,65000,EUR,76833,Romania,Partially Remote,United Kingdom,Small
2021,Mid Level,Full Time,Machine Learning Engineer,74000,USD,74000,Japan,Partially Remote,Japan,Small
2021,Senior Level,Full Time,Data Science Manager,152000,USD,152000,United States,Fully Remote,France,Large
2021,Entry Level,Full Time,Machine Learning Engineer,21844,USD,21844,Colombia,Partially Remote,Colombia,Medium
2021,Mid Level,Full Time,Big Data Engineer,18000,USD,18000,Moldova,Non Remote Work,Moldova,Small
2021,Senior Level,Full Time,Data Science Manager,174000,USD,174000,United States,Fully Remote,United States,Large
2021,Senior Level,Full Time,Research Scientist,120500,CAD,96113,Canada,Partially Remote,Canada,Large
2021,Mid Level,Full Time,Data Scientist,147000,USD,147000,United States,Partially Remote,United States,Large
2021,Entry Level,Full Time,BI Data Analyst,9272,USD,9272,Kenya,Fully Remote,Kenya,Small
2021,Senior Level,Full Time,Machine Learning Engineer,1799997,INR,24342,India,Fully Remote,India,Large
2021,Senior Level,Full Time,Data Science Manager,4000000,INR,54094,India,Partially Remote,United States,Large
2021,Entry Level,Full Time,Data Science Consultant,90000,USD,90000,United States,Fully Remote,United States,Small
2021,Mid Level,Full Time,Data Scientist,52000,EUR,61467,Germany,Partially Remote,Austria,Medium
2021,Senior Level,Full Time,Machine Learning Infrastructure Engineer,195000,USD,195000,United States,Fully Remote,United States,Medium
2021,Mid Level,Full Time,Data Scientist,32000,EUR,37825,Spain,Fully Remote,Spain,Large
2021,Senior Level,Full Time,Research Scientist,50000,USD,50000,France,Fully Remote,United States,Small
2021,Mid Level,Full Time,Data Scientist,160000,USD,160000,United States,Fully Remote,United States,Large
2021,Mid Level,Full Time,Data Scientist,69600,BRL,12901,Brazil,Non Remote Work,Brazil,Small
2021,Senior Level,Full Time,Machine Learning Engineer,200000,USD,200000,United States,Fully Remote,United States,Large
2021,Senior Level,Full Time,Data Engineer,165000,USD,165000,United States,Non Remote Work,United States,Medium
2021,Mid Level,Freelance,Data Engineer,20000,USD,20000,Italy,Non Remote Work,United States,Large
2021,Senior Level,Full Time,Data Analytics Manager,120000,USD,120000,United States,Non Remote Work,United States,Large
2021,Mid Level,Full Time,Machine Learning Engineer,21000,EUR,24823,Slovenia,Partially Remote,Slovenia,Large
2021,Mid Level,Full Time,Research Scientist,48000,EUR,56738,France,Partially Remote,France,Small
2021,Mid Level,Full Time,Data Engineer,48000,GBP,66022,Hong Kong,Partially Remote,United Kingdom,Small
2021,Entry Level,Full Time,Big Data Engineer,435000,INR,5882,India,Non Remote Work,Switzerland,Large
2021,Entry Level,Full Time,Machine Learning Engineer,21000,EUR,24823,Germany,Partially Remote,Germany,Medium
2021,Senior Level,Full Time,Principal Data Engineer,185000,USD,185000,United States,Fully Remote,United States,Large
2021,Entry Level,Part Time,Computer Vision Engineer,180000,DKK,28609,Denmark,Partially Remote,Denmark,Small
2021,Mid Level,Full Time,Data Scientist,76760,EUR,90734,Germany,Partially Remote,Germany,Large
2021,Mid Level,Full Time,Machine Learning Engineer,75000,EUR,88654,Belgium,Fully Remote,Belgium,Medium
2021,Senior Level,Full Time,Data Analytics Manager,140000,USD,140000,United States,Fully Remote,United States,Large
2021,Mid Level,Full Time,Machine Learning Engineer,180000,PLN,46597,Poland,Fully Remote,Poland,Large
2021,Mid Level,Full Time,Data Scientist,85000,GBP,116914,United Kingdom,Partially Remote,United Kingdom,Large
2021,Mid Level,Full Time,Data Scientist,2500000,INR,33808,India,Non Remote Work,India,Medium
2021,Mid Level,Full Time,Data Scientist,40900,GBP,56256,United Kingdom,Partially Remote,United Kingdom,Large
2021,Senior Level,Full Time,Machine Learning Scientist,225000,USD,225000,United States,Fully Remote,Canada,Large
2021,Expert Level,Contractual,Principal Data Scientist,416000,USD,416000,United States,Fully Remote,United States,Small
2021,Senior Level,Full Time,Data Scientist,110000,CAD,87738,Canada,Fully Remote,Canada,Small
2021,Mid Level,Full Time,Data Scientist,75000,EUR,88654,Germany,Partially Remote,Germany,Large
2021,Senior Level,Full Time,Data Scientist,135000,USD,135000,United States,Non Remote Work,United States,Large
2021,Senior Level,Full Time,Data Analyst,90000,CAD,71786,Canada,Fully Remote,Canada,Medium
2021,Entry Level,Full Time,Big Data Engineer,1200000,INR,16228,India,Fully Remote,India,Large
2021,Senior Level,Full Time,ML Engineer,256000,USD,256000,United States,Fully Remote,United States,Small
2021,Senior Level,Full Time,Director of Data Engineering,200000,USD,200000,United States,Fully Remote,United States,Large
2021,Senior Level,Full Time,Data Analyst,200000,USD,200000,United States,Fully Remote,United States,Large
2021,Mid Level,Full Time,Data Architect,180000,USD,180000,United States,Fully Remote,United States,Large
2021,Mid Level,Full Time,Head of Data Science,110000,USD,110000,United States,Non Remote Work,United States,Small
2021,Mid Level,Full Time,Research Scientist,80000,CAD,63810,Canada,Fully Remote,Canada,Medium
2021,Mid Level,Full Time,Data Scientist,39600,EUR,46809,Spain,Fully Remote,Spain,Medium
2021,Entry Level,Full Time,Data Scientist,4000,USD,4000,Vietnam,Non Remote Work,Vietnam,Medium
2021,Entry Level,Full Time,Data Engineer,1600000,INR,21637,India,Partially Remote,India,Medium
2021,Senior Level,Full Time,Data Scientist,130000,CAD,103691,Canada,Fully Remote,Canada,Large
2021,Mid Level,Full Time,Data Analyst,80000,USD,80000,United States,Fully Remote,United States,Large
2021,Mid Level,Full Time,Data Engineer,110000,USD,110000,United States,Fully Remote,United States,Large
2021,Senior Level,Full Time,Data Scientist,165000,USD,165000,United States,Fully Remote,United States,Large
2021,Entry Level,Full Time,AI Scientist,1335000,INR,18053,India,Fully Remote,American Samoa,Small
2021,Mid Level,Full Time,Data Engineer,52500,GBP,72212,United Kingdom,Partially Remote,United Kingdom,Large
2021,Entry Level,Full Time,Data Scientist,31000,EUR,36643,France,Partially Remote,France,Large
2021,Mid Level,Full Time,Data Engineer,108000,TRY,12103,Türkiye,Non Remote Work,Türkiye,Medium
2021,Senior Level,Full Time,Data Engineer,70000,GBP,96282,United Kingdom,Partially Remote,United Kingdom,Large
2021,Senior Level,Full Time,Principal Data Analyst,170000,USD,170000,United States,Fully Remote,United States,Medium
2021,Mid Level,Full Time,Data Scientist,115000,USD,115000,United States,Partially Remote,United States,Large
2021,Entry Level,Full Time,Data Scientist,90000,USD,90000,United States,Fully Remote,United States,Small
2021,Expert Level,Full Time,Principal Data Engineer,600000,USD,600000,United States,Fully Remote,United States,Large
2021,Entry Level,Full Time,Data Scientist,2100000,INR,28399,India,Fully Remote,India,Medium
2021,Mid Level,Full Time,Data Analyst,93000,USD,93000,United States,Fully Remote,United States,Large
2021,Senior Level,Full Time,Big Data Architect,125000,CAD,99703,Canada,Partially Remote,Canada,Medium
2021,Mid Level,Full Time,Data Engineer,200000,USD,200000,United States,Fully Remote,United States,Large
2021,Senior Level,Full Time,Principal Data Scientist,147000,EUR,173762,Germany,Fully Remote,Germany,Medium
2021,Senior Level,Full Time,Machine Learning Engineer,185000,USD,185000,United States,Partially Remote,United States,Large
2021,Expert Level,Full Time,Director of Data Science,120000,EUR,141846,Germany,Non Remote Work,Germany,Large
2021,Mid Level,Full Time,Data Scientist,130000,USD,130000,United States,Partially Remote,United States,Large
2021,Senior Level,Full Time,Data Analyst,54000,EUR,63831,Germany,Partially Remote,Germany,Large
2021,Mid Level,Full Time,Data Scientist,1250000,INR,16904,India,Fully Remote,India,Small
2021,Senior Level,Full Time,Machine Learning Engineer,4900000,INR,66265,India,Non Remote Work,India,Large
2021,Mid Level,Full Time,Data Scientist,21600,EUR,25532,Serbia,Fully Remote,Germany,Small
2021,Senior Level,Full Time,Lead Data Engineer,160000,USD,160000,Puerto Rico,Partially Remote,United States,Small
2021,Mid Level,Full Time,Data Engineer,93150,USD,93150,United States,Non Remote Work,United States,Medium
2021,Mid Level,Full Time,Data Engineer,111775,USD,111775,United States,Non Remote Work,United States,Medium
2021,Mid Level,Full Time,Data Engineer,250000,TRY,28016,Türkiye,Fully Remote,Türkiye,Medium
2021,Entry Level,Full Time,Data Engineer,55000,EUR,65013,Germany,Partially Remote,Germany,Medium
2021,Entry Level,Full Time,Data Engineer,72500,USD,72500,United States,Fully Remote,United States,Large
2021,Senior Level,Full Time,Computer Vision Engineer,102000,BRL,18907,Brazil,Non Remote Work,Brazil,Medium
2021,Entry Level,Full Time,Data Science Consultant,65000,EUR,76833,Germany,Non Remote Work,Germany,Large
2021,Entry Level,Full Time,Machine Learning Engineer,85000,USD,85000,Netherlands,Fully Remote,Germany,Small
2021,Senior Level,Full Time,Data Scientist,65720,EUR,77684,France,Partially Remote,France,Medium
2021,Entry Level,Full Time,Data Scientist,100000,USD,100000,United States,Fully Remote,United States,Medium
2021,Entry Level,Full Time,Data Scientist,58000,USD,58000,United States,Partially Remote,United States,Large
2021,Senior Level,Full Time,AI Scientist,55000,USD,55000,Spain,Fully Remote,Spain,Large
2021,Senior Level,Full Time,Data Scientist,180000,TRY,20171,Türkiye,Partially Remote,Türkiye,Large
